Player,Hero,Round,Opponent,Opponent Hero,Result
Sergio Sanz Guerrero,"Azalea, Ace in the Hole",Round 5,Bota Claudiu,"Prism, Awakener of Sol",Loss
Matteo Blasi,"Florian, Rotwood Harbinger",Round 5,Ferdinand Wenke,"Florian, Rotwood Harbinger",Loss
Ferdinand Wenke,"Florian, Rotwood Harbinger",Round 5,Matteo Blasi,"Florian, Rotwood Harbinger",Win
Angelo Zaccardi,"Cindra, Dracai of Retribution",Round 5,Matteo Frescucci,"Arakni, 5L!p3d 7hRu 7h3 cR4X",Loss
Matteo Frescucci,"Arakni, 5L!p3d 7hRu 7h3 cR4X",Round 5,Angelo Zaccardi,"Cindra, Dracai of Retribution",Win
Arthur Trehet,"Verdance, Thorn of the Rose",Round 5,Thorbjørn Lind Jensen,"Azalea, Ace in the Hole",Loss
Thorbjørn Lind Jensen,"Azalea, Ace in the Hole",Round 5,Arthur Trehet,"Verdance, Thorn of the Rose",Win
Vasil Popov,"Arakni, Marionette",Round 5,Andrea Nicastro,"Kano, Dracai of Aether",Loss
Andrea Nicastro,"Kano, Dracai of Aether",Round 5,Vasil Popov,"Arakni, Marionette",Win
Alessandro Segradin,Dash I/O,Round 5,Jonas Benzarti,"Arakni, Marionette",Loss
Jonas Benzarti,"Arakni, Marionette",Round 5,Alessandro Segradin,Dash I/O,Win
Maximilian Schmidt,"Verdance, Thorn of the Rose",Round 5,Evan Tanguy,"Gravy Bones, Shipwrecked Looter",Loss
Evan Tanguy,"Gravy Bones, Shipwrecked Looter",Round 5,Maximilian Schmidt,"Verdance, Thorn of the Rose",Win
Marcel Harz,"Prism, Awakener of Sol",Round 5,Florin-Cristian Loghin,"Florian, Rotwood Harbinger",Loss
Florin-Cristian Loghin,"Florian, Rotwood Harbinger",Round 5,Marcel Harz,"Prism, Awakener of Sol",Win
Maximilian Klein,"Gravy Bones, Shipwrecked Looter",Round 5,Brent Van de Staey,"Cindra, Dracai of Retribution",Loss
Brent Van de Staey,"Cindra, Dracai of Retribution",Round 5,Maximilian Klein,"Gravy Bones, Shipwrecked Looter",Win
Yassine Echafai Tripiana,"Vynnset, Iron Maiden",Round 5,Diogo Vala,"Azalea, Ace in the Hole",Win
Diogo Vala,"Azalea, Ace in the Hole",Round 5,Yassine Echafai Tripiana,"Vynnset, Iron Maiden",Loss
Stefania Patsou,"Cindra, Dracai of Retribution",Round 5,Jan-Hendrik Brinkforth,Jarl Vetreiði,Loss
Jan-Hendrik Brinkforth,Jarl Vetreiði,Round 5,Stefania Patsou,"Cindra, Dracai of Retribution",Win
Florian Schmidt,"Prism, Awakener of Sol",Round 5,Yorick Schulte,Kassai of the Golden Sand,Loss
Yorick Schulte,Kassai of the Golden Sand,Round 5,Florian Schmidt,"Prism, Awakener of Sol",Win
George Melissakis,"Prism, Awakener of Sol",Round 5,Boris Melnykov,"Nuu, Alluring Desire",Win
Boris Melnykov,"Nuu, Alluring Desire",Round 5,George Melissakis,"Prism, Awakener of Sol",Loss
Alex Smith,"Azalea, Ace in the Hole",Round 5,Flavio Dollani,"Azalea, Ace in the Hole",Loss
Flavio Dollani,"Azalea, Ace in the Hole",Round 5,Alex Smith,"Azalea, Ace in the Hole",Win
Lorenzo Miele,"Prism, Awakener of Sol",Round 5,Alexej Vollmer,"Gravy Bones, Shipwrecked Looter",Win
Alexej Vollmer,"Gravy Bones, Shipwrecked Looter",Round 5,Lorenzo Miele,"Prism, Awakener of Sol",Loss
Edoardo La Rosa,"Vynnset, Iron Maiden",Round 5,Ian Zhang,"Nuu, Alluring Desire",Loss
Ian Zhang,"Nuu, Alluring Desire",Round 5,Edoardo La Rosa,"Vynnset, Iron Maiden",Win
András Kovács,"Azalea, Ace in the Hole",Round 5,Christos Kontzoglou,"Azalea, Ace in the Hole",Loss
Christos Kontzoglou,"Azalea, Ace in the Hole",Round 5,András Kovács,"Azalea, Ace in the Hole",Win
Viet Pham,"Nuu, Alluring Desire",Round 5,Gregory Patellis,"Prism, Awakener of Sol",Loss
Gregory Patellis,"Prism, Awakener of Sol",Round 5,Viet Pham,"Nuu, Alluring Desire",Win
Emanuele Zanella,"Azalea, Ace in the Hole",Round 5,Isidoros Popovits,"Azalea, Ace in the Hole",Loss
Isidoros Popovits,"Azalea, Ace in the Hole",Round 5,Emanuele Zanella,"Azalea, Ace in the Hole",Win
Andrea Tosi,"Florian, Rotwood Harbinger",Round 5,Αναστάσιος Παπαγιάννης,"Oscilio, Constella Intelligence",Win
Αναστάσιος Παπαγιάννης,"Oscilio, Constella Intelligence",Round 5,Andrea Tosi,"Florian, Rotwood Harbinger",Loss
Kevin Steiger,"Azalea, Ace in the Hole",Round 5,KONSTANTINOS STERGIOU,"Arakni, 5L!p3d 7hRu 7h3 cR4X",Loss
KONSTANTINOS STERGIOU,"Arakni, 5L!p3d 7hRu 7h3 cR4X",Round 5,Kevin Steiger,"Azalea, Ace in the Hole",Win
Łukasz Gryziewicz,"Cindra, Dracai of Retribution",Round 5,Jari Vincke,"Verdance, Thorn of the Rose",Win
Jari Vincke,"Verdance, Thorn of the Rose",Round 5,Łukasz Gryziewicz,"Cindra, Dracai of Retribution",Loss
Maciej Chmielewski,"Gravy Bones, Shipwrecked Looter",Round 5,Eugene C,"Rhinar, Reckless Rampage",Win
Eugene C,"Rhinar, Reckless Rampage",Round 5,Maciej Chmielewski,"Gravy Bones, Shipwrecked Looter",Loss
Matteo Brunori,"Azalea, Ace in the Hole",Round 5,Alex Kondov,"Prism, Awakener of Sol",Loss
Alex Kondov,"Prism, Awakener of Sol",Round 5,Matteo Brunori,"Azalea, Ace in the Hole",Win
Jonny Chapman,"Florian, Rotwood Harbinger",Round 5,Daniele Frattarelli,"Florian, Rotwood Harbinger",Win
Daniele Frattarelli,"Florian, Rotwood Harbinger",Round 5,Jonny Chapman,"Florian, Rotwood Harbinger",Loss
Mateusz Sass,"Victor Goldmane, High and Mighty",Round 5,Tudor Diaconescu,"Levia, Shadowborn Abomination",Win
Tudor Diaconescu,"Levia, Shadowborn Abomination",Round 5,Mateusz Sass,"Victor Goldmane, High and Mighty",Loss
Sebastian Linn,"Verdance, Thorn of the Rose",Round 5,Adrian Słowiński,"Azalea, Ace in the Hole",Loss
Adrian Słowiński,"Azalea, Ace in the Hole",Round 5,Sebastian Linn,"Verdance, Thorn of the Rose",Win
Michael Wachouschek,Dash I/O,Round 5,Alessandro Tassini,"Florian, Rotwood Harbinger",Loss
Alessandro Tassini,"Florian, Rotwood Harbinger",Round 5,Michael Wachouschek,Dash I/O,Win
Goran Lovric,"Florian, Rotwood Harbinger",Round 5,Jimmy Nguyen,"Gravy Bones, Shipwrecked Looter",Loss
Jimmy Nguyen,"Gravy Bones, Shipwrecked Looter",Round 5,Goran Lovric,"Florian, Rotwood Harbinger",Win
Raffaele Verdiani,"Verdance, Thorn of the Rose",Round 5,Philip van Donselaar,"Gravy Bones, Shipwrecked Looter",Loss
Philip van Donselaar,"Gravy Bones, Shipwrecked Looter",Round 5,Raffaele Verdiani,"Verdance, Thorn of the Rose",Win
Andrea Pizzetti,"Oscilio, Constella Intelligence",Round 5,Žan Baumgartner,"Kano, Dracai of Aether",Loss
Žan Baumgartner,"Kano, Dracai of Aether",Round 5,Andrea Pizzetti,"Oscilio, Constella Intelligence",Win
Piergiorgio Villani,Kassai of the Golden Sand,Round 5,Simone Pirota,"Azalea, Ace in the Hole",Loss
Simone Pirota,"Azalea, Ace in the Hole",Round 5,Piergiorgio Villani,Kassai of the Golden Sand,Win
Sebastian Niedzielec,Dorinthea Ironsong,Round 5,Lukasz Ziemba,"Fang, Dracai of Blades",Loss
Lukasz Ziemba,"Fang, Dracai of Blades",Round 5,Sebastian Niedzielec,Dorinthea Ironsong,Win
Steffen Bauer,"Cindra, Dracai of Retribution",Round 5,Marco Nogarole,"Cindra, Dracai of Retribution",Win
Marco Nogarole,"Cindra, Dracai of Retribution",Round 5,Steffen Bauer,"Cindra, Dracai of Retribution",Loss
Pierantonio Ostuni,"Cindra, Dracai of Retribution",Round 5,Francesco D'Amendola,"Kayo, Armed and Dangerous",Win
Francesco D'Amendola,"Kayo, Armed and Dangerous",Round 5,Pierantonio Ostuni,"Cindra, Dracai of Retribution",Loss
Grégory Lefebvre,"Oscilio, Constella Intelligence",Round 5,Davide Ricci,"Prism, Awakener of Sol",Loss
Davide Ricci,"Prism, Awakener of Sol",Round 5,Grégory Lefebvre,"Oscilio, Constella Intelligence",Win
Nico Schleier,"Arakni, Marionette",Round 5,Tomasz Żelazko,"Marlynn, Treasure Hunter",Win
Tomasz Żelazko,"Marlynn, Treasure Hunter",Round 5,Nico Schleier,"Arakni, Marionette",Loss
Emad Kashy,"Arakni, Marionette",Round 5,Ivaylo Ivanov,"Azalea, Ace in the Hole",Loss
Ivaylo Ivanov,"Azalea, Ace in the Hole",Round 5,Emad Kashy,"Arakni, Marionette",Win
Jacob Walter,"Verdance, Thorn of the Rose",Round 5,Lukasz Bigos,"Puffin, Hightail",Win
Lukasz Bigos,"Puffin, Hightail",Round 5,Jacob Walter,"Verdance, Thorn of the Rose",Loss
Federico Sirri,Kassai of the Golden Sand,Round 5,George Chew,"Kayo, Armed and Dangerous",Win
George Chew,"Kayo, Armed and Dangerous",Round 5,Federico Sirri,Kassai of the Golden Sand,Loss
Tilen Blazinšek,"Nuu, Alluring Desire",Round 5,Erik Baalhuis,"Rhinar, Reckless Rampage",Win
Erik Baalhuis,"Rhinar, Reckless Rampage",Round 5,Tilen Blazinšek,"Nuu, Alluring Desire",Loss
Bottino Valerio,"Prism, Awakener of Sol",Round 5,Gints Dreimanis,"Arakni, Marionette",Loss
Gints Dreimanis,"Arakni, Marionette",Round 5,Bottino Valerio,"Prism, Awakener of Sol",Win
Nikos Evgenidis,"Nuu, Alluring Desire",Round 5,Nicolò Valenzano,"Azalea, Ace in the Hole",Win
Nicolò Valenzano,"Azalea, Ace in the Hole",Round 5,Nikos Evgenidis,"Nuu, Alluring Desire",Loss
Tomasz Zalejski,Kassai of the Golden Sand,Round 5,Filippo Barbani,"Victor Goldmane, High and Mighty",Loss
Filippo Barbani,"Victor Goldmane, High and Mighty",Round 5,Tomasz Zalejski,Kassai of the Golden Sand,Win
Mihai Zorila,"Cindra, Dracai of Retribution",Round 5,Adrien Druart,"Nuu, Alluring Desire",Win
Adrien Druart,"Nuu, Alluring Desire",Round 5,Mihai Zorila,"Cindra, Dracai of Retribution",Loss
Julien Erdreich,"Florian, Rotwood Harbinger",Round 5,Tommaso Viscido,"Nuu, Alluring Desire",Loss
Tommaso Viscido,"Nuu, Alluring Desire",Round 5,Julien Erdreich,"Florian, Rotwood Harbinger",Win
Natan Tomeo,"Verdance, Thorn of the Rose",Round 5,Stefaan Morbee,"Gravy Bones, Shipwrecked Looter",Win
Stefaan Morbee,"Gravy Bones, Shipwrecked Looter",Round 5,Natan Tomeo,"Verdance, Thorn of the Rose",Loss
Martin Holík,"Kano, Dracai of Aether",Round 5,Lorenzo Brambilla Pisoni,"Nuu, Alluring Desire",Win
Lorenzo Brambilla Pisoni,"Nuu, Alluring Desire",Round 5,Martin Holík,"Kano, Dracai of Aether",Loss
Bartosz Dobrowolski,"Arakni, Marionette",Round 5,Tim Dasiukevich,"Riptide, Lurker of the Deep",Win
Tim Dasiukevich,"Riptide, Lurker of the Deep",Round 5,Bartosz Dobrowolski,"Arakni, Marionette",Loss
Michael Feng,"Nuu, Alluring Desire",Round 5,Jorge Jimenez,"Florian, Rotwood Harbinger",Win
Jorge Jimenez,"Florian, Rotwood Harbinger",Round 5,Michael Feng,"Nuu, Alluring Desire",Loss
Xavier Mudry,"Oscilio, Constella Intelligence",Round 5,David Luckey,"Azalea, Ace in the Hole",Win
David Luckey,"Azalea, Ace in the Hole",Round 5,Xavier Mudry,"Oscilio, Constella Intelligence",Loss
Patrik Koller,"Arakni, 5L!p3d 7hRu 7h3 cR4X",Round 5,Max Dieckmann,"Gravy Bones, Shipwrecked Looter",Loss
Max Dieckmann,"Gravy Bones, Shipwrecked Looter",Round 5,Patrik Koller,"Arakni, 5L!p3d 7hRu 7h3 cR4X",Win
Panagiotis Pavlou,"Prism, Awakener of Sol",Round 5,David Chirulescu,Kassai of the Golden Sand,Loss
David Chirulescu,Kassai of the Golden Sand,Round 5,Panagiotis Pavlou,"Prism, Awakener of Sol",Win
Michal Cwik,"Levia, Shadowborn Abomination",Round 5,Giacomo Mosca,"Verdance, Thorn of the Rose",Loss
Giacomo Mosca,"Verdance, Thorn of the Rose",Round 5,Michal Cwik,"Levia, Shadowborn Abomination",Win
Márton Kovács,"Cindra, Dracai of Retribution",Round 5,Yahir Peñarrubia,"Florian, Rotwood Harbinger",Win
Yahir Peñarrubia,"Florian, Rotwood Harbinger",Round 5,Márton Kovács,"Cindra, Dracai of Retribution",Loss
Gabriel Zugna,Kassai of the Golden Sand,Round 5,Morris Prem,"Arakni, Marionette",Loss
Morris Prem,"Arakni, Marionette",Round 5,Gabriel Zugna,Kassai of the Golden Sand,Win
Kaloyan Nikov,Dash I/O,Round 5,Giorgos Dailianis,"Arakni, 5L!p3d 7hRu 7h3 cR4X",Win
Giorgos Dailianis,"Arakni, 5L!p3d 7hRu 7h3 cR4X",Round 5,Kaloyan Nikov,Dash I/O,Loss
Noah Cagle,"Fang, Dracai of Blades",Round 5,Marek Fila,"Fang, Dracai of Blades",Win
Marek Fila,"Fang, Dracai of Blades",Round 5,Noah Cagle,"Fang, Dracai of Blades",Loss
CHRISTOS KOSTAKIS,"Ira, Scarlet Revenger",Round 5,Matteo Lista,"Oscilio, Constella Intelligence",Win
Matteo Lista,"Oscilio, Constella Intelligence",Round 5,CHRISTOS KOSTAKIS,"Ira, Scarlet Revenger",Loss
Tiziano Biagetti,"Florian, Rotwood Harbinger",Round 5,Samuel Mudry,"Kano, Dracai of Aether",Loss
Samuel Mudry,"Kano, Dracai of Aether",Round 5,Tiziano Biagetti,"Florian, Rotwood Harbinger",Win
Victor Sanchez,"Riptide, Lurker of the Deep",Round 5,Christian Hauck,Dorinthea Ironsong,Loss
Christian Hauck,Dorinthea Ironsong,Round 5,Victor Sanchez,"Riptide, Lurker of the Deep",Win
Simone Rainaldi,"Oscilio, Constella Intelligence",Round 5,Jakub Koenner,"Prism, Awakener of Sol",Win
Jakub Koenner,"Prism, Awakener of Sol",Round 5,Simone Rainaldi,"Oscilio, Constella Intelligence",Loss
Daja Todesco,"Gravy Bones, Shipwrecked Looter",Round 5,filippo pirazzoli,"Cindra, Dracai of Retribution",Loss
filippo pirazzoli,"Cindra, Dracai of Retribution",Round 5,Daja Todesco,"Gravy Bones, Shipwrecked Looter",Win
Maximilian Reichl,"Arakni, Marionette",Round 5,Riccardo Di Cesare,Kassai of the Golden Sand,Win
Riccardo Di Cesare,Kassai of the Golden Sand,Round 5,Maximilian Reichl,"Arakni, Marionette",Loss
Christian Fichtner,"Nuu, Alluring Desire",Round 5,Adrián Marín,"Florian, Rotwood Harbinger",Win
Adrián Marín,"Florian, Rotwood Harbinger",Round 5,Christian Fichtner,"Nuu, Alluring Desire",Loss
Valerio Colonna,"Nuu, Alluring Desire",Round 5,Antonio Kutter,"Prism, Awakener of Sol",Loss
Antonio Kutter,"Prism, Awakener of Sol",Round 5,Valerio Colonna,"Nuu, Alluring Desire",Win
Nathanaël frederic,"Azalea, Ace in the Hole",Round 5,Alberto Di Blasi,"Gravy Bones, Shipwrecked Looter",Win
Alberto Di Blasi,"Gravy Bones, Shipwrecked Looter",Round 5,Nathanaël frederic,"Azalea, Ace in the Hole",Loss
Andrea Ceschin,Dorinthea Ironsong,Round 5,Jakub Kulpinski,"Puffin, Hightail",Loss
Jakub Kulpinski,"Puffin, Hightail",Round 5,Andrea Ceschin,Dorinthea Ironsong,Win
Michał Zalejski,"Florian, Rotwood Harbinger",Round 5,Matthew Brown,"Fang, Dracai of Blades",Loss
Matthew Brown,"Fang, Dracai of Blades",Round 5,Michał Zalejski,"Florian, Rotwood Harbinger",Win
Simone Pagani,"Marlynn, Treasure Hunter",Round 5,Gabriele Giacomelli,Dash I/O,Win
Gabriele Giacomelli,Dash I/O,Round 5,Simone Pagani,"Marlynn, Treasure Hunter",Loss
Michał Rzepczyński,"Azalea, Ace in the Hole",Round 5,Jeremy Miller,"Nuu, Alluring Desire",Loss
Jeremy Miller,"Nuu, Alluring Desire",Round 5,Michał Rzepczyński,"Azalea, Ace in the Hole",Win
Brian Fusciani,Dorinthea Ironsong,Round 5,Andrea Caregnato,"Rhinar, Reckless Rampage",Loss
Andrea Caregnato,"Rhinar, Reckless Rampage",Round 5,Brian Fusciani,Dorinthea Ironsong,Win
Igor Makarev,"Ira, Scarlet Revenger",Round 5,Andrea Albani,"Arakni, 5L!p3d 7hRu 7h3 cR4X",Loss
Andrea Albani,"Arakni, 5L!p3d 7hRu 7h3 cR4X",Round 5,Igor Makarev,"Ira, Scarlet Revenger",Win
Michał Biereg,"Verdance, Thorn of the Rose",Round 5,Vasil Boev,"Verdance, Thorn of the Rose",Loss
Vasil Boev,"Verdance, Thorn of the Rose",Round 5,Michał Biereg,"Verdance, Thorn of the Rose",Win
Faustin Falissard,Jarl Vetreiði,Round 5,Vincent Weinzierl,Kassai of the Golden Sand,Loss
Vincent Weinzierl,Kassai of the Golden Sand,Round 5,Faustin Falissard,Jarl Vetreiði,Win
Iason Kouvakas,"Florian, Rotwood Harbinger",Round 5,Florian Grabenstein,"Kayo, Armed and Dangerous",Loss
Florian Grabenstein,"Kayo, Armed and Dangerous",Round 5,Iason Kouvakas,"Florian, Rotwood Harbinger",Win
Brian Zambelli Tello,"Prism, Awakener of Sol",Round 5,Pietro Motta,"Puffin, Hightail",Loss
Pietro Motta,"Puffin, Hightail",Round 5,Brian Zambelli Tello,"Prism, Awakener of Sol",Win
Romain TRAVERSAZ,"Florian, Rotwood Harbinger",Round 5,Alberto Hernández Martin,"Vynnset, Iron Maiden",Loss
Alberto Hernández Martin,"Vynnset, Iron Maiden",Round 5,Romain TRAVERSAZ,"Florian, Rotwood Harbinger",Win
Alessandro Berganton,"Florian, Rotwood Harbinger",Round 5,Paolo D’Innocenzo,Kassai of the Golden Sand,Loss
Paolo D’Innocenzo,Kassai of the Golden Sand,Round 5,Alessandro Berganton,"Florian, Rotwood Harbinger",Win
Theofilos Papadopoulos,"Levia, Shadowborn Abomination",Round 5,Stephen Berlyant,"Gravy Bones, Shipwrecked Looter",Win
Stephen Berlyant,"Gravy Bones, Shipwrecked Looter",Round 5,Theofilos Papadopoulos,"Levia, Shadowborn Abomination",Loss
Francesco Fiumanò,"Cindra, Dracai of Retribution",Round 5,Tore Eskeland,"Florian, Rotwood Harbinger",Win
Tore Eskeland,"Florian, Rotwood Harbinger",Round 5,Francesco Fiumanò,"Cindra, Dracai of Retribution",Loss
Nikolas Koutounidis,"Victor Goldmane, High and Mighty",Round 5,Flavio Caoduro,"Gravy Bones, Shipwrecked Looter",Loss
Flavio Caoduro,"Gravy Bones, Shipwrecked Looter",Round 5,Nikolas Koutounidis,"Victor Goldmane, High and Mighty",Win
Marcello Mutalipassi,"Arakni, Marionette",Round 5,Marek Luczak,"Cindra, Dracai of Retribution",Win
Marek Luczak,"Cindra, Dracai of Retribution",Round 5,Marcello Mutalipassi,"Arakni, Marionette",Loss
Pierre-Yves Garcia,"Ira, Scarlet Revenger",Round 5,Tom Escoffier,"Arakni, Marionette",Loss
Tom Escoffier,"Arakni, Marionette",Round 5,Pierre-Yves Garcia,"Ira, Scarlet Revenger",Win
Alessio Viola,Jarl Vetreiði,Round 5,Stefano Galli,"Verdance, Thorn of the Rose",Loss
Stefano Galli,"Verdance, Thorn of the Rose",Round 5,Alessio Viola,Jarl Vetreiði,Win
Florian Traversaz,"Prism, Awakener of Sol",Round 5,Aurelien Souchet,"Verdance, Thorn of the Rose",Win
Aurelien Souchet,"Verdance, Thorn of the Rose",Round 5,Florian Traversaz,"Prism, Awakener of Sol",Loss
"""Lello"" Alessandro Stefanelli","Azalea, Ace in the Hole",Round 5,Valentino Odorjan,"Gravy Bones, Shipwrecked Looter",Win
Valentino Odorjan,"Gravy Bones, Shipwrecked Looter",Round 5,"""Lello"" Alessandro Stefanelli","Azalea, Ace in the Hole",Loss
Alessandro Sgura,"Vynnset, Iron Maiden",Round 5,Gaia Bormida,Dorinthea Ironsong,Win
Gaia Bormida,Dorinthea Ironsong,Round 5,Alessandro Sgura,"Vynnset, Iron Maiden",Loss
Gabriele Panichi,"Prism, Awakener of Sol",Round 5,Wojciech Arendt,"Prism, Awakener of Sol",Loss
Wojciech Arendt,"Prism, Awakener of Sol",Round 5,Gabriele Panichi,"Prism, Awakener of Sol",Win
Jurij Di Carlo,"Florian, Rotwood Harbinger",Round 5,Gianluca Razza,"Verdance, Thorn of the Rose",Loss
Gianluca Razza,"Verdance, Thorn of the Rose",Round 5,Jurij Di Carlo,"Florian, Rotwood Harbinger",Win
Maciej Szawica,"Kayo, Armed and Dangerous",Round 5,Edoardo Galli,"Nuu, Alluring Desire",Loss
Edoardo Galli,"Nuu, Alluring Desire",Round 5,Maciej Szawica,"Kayo, Armed and Dangerous",Win
Duccio Capanni,"Victor Goldmane, High and Mighty",Round 5,Demetrio Bori,Dash I/O,Win
Demetrio Bori,Dash I/O,Round 5,Duccio Capanni,"Victor Goldmane, High and Mighty",Loss
Sotiris Konstantelos,"Puffin, Hightail",Round 5,Daniel Collett,"Gravy Bones, Shipwrecked Looter",Loss
Daniel Collett,"Gravy Bones, Shipwrecked Looter",Round 5,Sotiris Konstantelos,"Puffin, Hightail",Win
Kinga Piper Balázs,"Cindra, Dracai of Retribution",Round 5,Roberto Andreocci,"Ira, Scarlet Revenger",Loss
Roberto Andreocci,"Ira, Scarlet Revenger",Round 5,Kinga Piper Balázs,"Cindra, Dracai of Retribution",Win
James Thourgood,"Prism, Awakener of Sol",Round 5,Davide Brigida,"Puffin, Hightail",Win
Davide Brigida,"Puffin, Hightail",Round 5,James Thourgood,"Prism, Awakener of Sol",Loss
Sebastian Sommer,"Gravy Bones, Shipwrecked Looter",Round 5,Simone Quartieri,"Florian, Rotwood Harbinger",Win
Simone Quartieri,"Florian, Rotwood Harbinger",Round 5,Sebastian Sommer,"Gravy Bones, Shipwrecked Looter",Loss
Arianna Rinaldi,"Puffin, Hightail",Round 5,Nicolas Ziegler,"Gravy Bones, Shipwrecked Looter",Loss
Nicolas Ziegler,"Gravy Bones, Shipwrecked Looter",Round 5,Arianna Rinaldi,"Puffin, Hightail",Win
Iacopo Lau,"Azalea, Ace in the Hole",Round 5,Guillermo Revilla,"Arakni, Marionette",Win
Guillermo Revilla,"Arakni, Marionette",Round 5,Iacopo Lau,"Azalea, Ace in the Hole",Loss
Pierfrancesco Di Giuseppe,"Gravy Bones, Shipwrecked Looter",Round 5,David Bettoli,"Prism, Awakener of Sol",Loss
David Bettoli,"Prism, Awakener of Sol",Round 5,Pierfrancesco Di Giuseppe,"Gravy Bones, Shipwrecked Looter",Win
Massimiliano Messina,"Fang, Dracai of Blades",Round 5,None,,Win
None,,Round 5,Massimiliano Messina,"Fang, Dracai of Blades",Loss
Gilles Molina,"Prism, Awakener of Sol",Round 6,Stefano Meoni,"Azalea, Ace in the Hole",Loss
Stefano Meoni,"Azalea, Ace in the Hole",Round 6,Gilles Molina,"Prism, Awakener of Sol",Win
Alexander Hempelmann,"Kano, Dracai of Aether",Round 6,Gustavo Cilleruelo,"Riptide, Lurker of the Deep",Loss
Gustavo Cilleruelo,"Riptide, Lurker of the Deep",Round 6,Alexander Hempelmann,"Kano, Dracai of Aether",Win
Alessandro Bracci,"Verdance, Thorn of the Rose",Round 6,Marko Leben,"Gravy Bones, Shipwrecked Looter",Loss
Marko Leben,"Gravy Bones, Shipwrecked Looter",Round 6,Alessandro Bracci,"Verdance, Thorn of the Rose",Win
Anton Cid Mejias,"Arakni, Marionette",Round 6,Roman Legíň,"Florian, Rotwood Harbinger",Loss
Roman Legíň,"Florian, Rotwood Harbinger",Round 6,Anton Cid Mejias,"Arakni, Marionette",Win
Filip Mikołajczyk,"Cindra, Dracai of Retribution",Round 6,Szabolcs Egri,"Nuu, Alluring Desire",Win
Szabolcs Egri,"Nuu, Alluring Desire",Round 6,Filip Mikołajczyk,"Cindra, Dracai of Retribution",Loss
Yorgos Samaras,"Cindra, Dracai of Retribution",Round 6,Filippo Barbani,"Victor Goldmane, High and Mighty",Loss
Filippo Barbani,"Victor Goldmane, High and Mighty",Round 6,Yorgos Samaras,"Cindra, Dracai of Retribution",Win
Ruben Exposito,"Kano, Dracai of Aether",Round 6,Maniša Njegomir,"Kano, Dracai of Aether",Loss
Maniša Njegomir,"Kano, Dracai of Aether",Round 6,Ruben Exposito,"Kano, Dracai of Aether",Win
Charlie Fahey,"Kano, Dracai of Aether",Round 6,Tommaso Fabbri,"Azalea, Ace in the Hole",Loss
Tommaso Fabbri,"Azalea, Ace in the Hole",Round 6,Charlie Fahey,"Kano, Dracai of Aether",Win
axilleas siskopoulos,"Vynnset, Iron Maiden",Round 6,Alessandro Brogi,"Arakni, 5L!p3d 7hRu 7h3 cR4X",Win
Alessandro Brogi,"Arakni, 5L!p3d 7hRu 7h3 cR4X",Round 6,axilleas siskopoulos,"Vynnset, Iron Maiden",Loss
Mauro Giuseppe Di Lauro,"Florian, Rotwood Harbinger",Round 6,Andrea Milaneschi,"Vynnset, Iron Maiden",Win
Andrea Milaneschi,"Vynnset, Iron Maiden",Round 6,Mauro Giuseppe Di Lauro,"Florian, Rotwood Harbinger",Loss
Andrei Sebastian Suciu,"Arakni, Marionette",Round 6,Marvin Heusinger,"Cindra, Dracai of Retribution",Loss
Marvin Heusinger,"Cindra, Dracai of Retribution",Round 6,Andrei Sebastian Suciu,"Arakni, Marionette",Win
